A,C,articles,pos_articles,neg_articles,null_or_mix,net_score,pos_ratio,balance,balance_low,balance_high
male_sex,mortality,56,20,4,32,18.7176,0.8333333333333334,0.6666666666666666,0.2829305922426115,0.8664286399854217
smoking,mortality,41,17,1,23,23.610399999999995,0.9444444444444444,0.8888888888888888,0.4848440039598494,0.9802501283381513
ACPA_RF,mortality,39,18,2,19,17.374400000000005,0.9,0.8,0.3979235871764133,0.9442682120316936
Cytokine_inflammation,progression,39,6,8,25,0.7112000000000012,0.42857142857142855,-0.14285714285714285,-0.5723898013919895,0.34819466194261284
ACPA_RF,progression,37,10,2,25,9.9968,0.8333333333333334,0.6666666666666666,0.10392728523065475,0.9060717047703553
Fibrosis_pathway,progression,37,8,5,24,3.8751999999999995,0.6153846153846154,0.23076923076923078,-0.2895503805546289,0.6458110683752638
smoking,progression,32,7,3,22,3.704,0.7,0.4,-0.20645356004086968,0.7844214250275761
male_sex,progression,31,9,2,20,7.887199999999999,0.8181818181818182,0.6363636363636364,0.04602772484351059,0.897266798657999
glucocorticoid,progression,26,5,5,16,0.6279999999999997,0.5,0,-0.5268208127690254,0.5268208127690253
methotrexate,progression,25,6,0,19,9.896,1,1,0.2193139326938709,0.9999999999999998
Cytokine_inflammation,mortality,23,5,1,17,4.5456,0.8333333333333334,0.6666666666666666,-0.1270188731272921,0.9398948282565394
glucocorticoid,mortality,23,9,0,14,12.296000000000001,1,1,0.40169449289808146,1
nintedanib,progression,18,3,4,11,-1.9728000000000003,0.42857142857142855,-0.14285714285714285,-0.6835661554747463,0.4990915391819484
Fibrosis_pathway,mortality,17,3,1,13,3.604,0.75,0.5,-0.39872789511472684,0.9088278747107275
disease_duration,mortality,17,6,1,10,3.8,0.8571428571428571,0.7142857142857143,-0.026269006638059866,0.9486420881020505
disease_duration,progression,17,1,1,15,0.19999999999999996,0.5,0,-0.8109426903982677,0.8109426903982677
methotrexate,mortality,17,7,3,7,3.9728000000000003,0.7,0.4,-0.20645356004086968,0.7844214250275761
KL6,progression,15,6,2,7,7.2896,0.75,0.5,-0.18146024179482168,0.8570446222839447
drug_induced_ILD,progression,15,2,0,13,1.7360000000000002,1,1,-0.3152560942207615,1
cyclophosphamide,progression,13,5,2,6,5.156000000000001,0.7142857142857143,0.42857142857142855,-0.28214181970357466,0.8355656685819688
Fibrosis_pathway,AE-ILD,12,2,0,10,1.6960000000000002,1,1,-0.3152560942207615,1
abatacept,progression,12,1,3,8,-0.3680000000000001,0.25,-0.5,-0.9088278747107276,0.39872789511472684
rituximab,progression,12,2,1,9,0.06400000000000006,0.6666666666666666,0.3333333333333333,-0.5846900897470242,0.8770193694476789
drug_induced_ILD,mortality,11,2,0,9,1.36,1,1,-0.3152560942207615,1
KL6,mortality,9,6,0,3,8.392000000000001,1,1,0.2193139326938709,0.9999999999999998
cyclophosphamide,mortality,9,4,0,5,3.8320000000000003,1,1,0.020199959192001682,1
nintedanib,mortality,9,2,1,6,-0.016000000000000014,0.6666666666666666,0.3333333333333333,-0.5846900897470242,0.8770193694476789
tocilizumab,progression,9,0,1,8,-1.7440000000000002,0,-1,-1,0.5869134170522141
mycophenolate,progression,8,2,0,6,1.7120000000000002,1,1,-0.3152560942207615,1
rituximab,mortality,8,2,2,4,-0.6720000000000002,0.5,0,-0.699928582359657,0.699928582359657
APRIL,mortality,6,3,0,3,2.5280000000000005,1,1,-0.12301216089803546,1
MMP7,mortality,6,3,0,3,3.668,1,1,-0.12301216089803546,1
azathioprine,progression,6,0,1,5,-0.8160000000000001,0,-1,-1,0.5869134170522141
pirfenidone,progression,6,1,1,4,-0.6320000000000001,0.5,0,-0.8109426903982677,0.8109426903982677
MUC5B,mortality,5,3,0,2,2.2640000000000002,1,1,-0.12301216089803546,1
MUC5B,progression,5,3,0,2,3.8360000000000003,1,1,-0.12301216089803546,1
