term,regex,class,notes
methotrexate,\b(methotrexate|\bMTX\b)\b,drug,DMARD
leflunomide,\b(leflunomide|\bLEF\b)\b,drug,DMARD
azathioprine,\b(azathioprine|\bAZA\b)\b,drug,DMARD
mycophenolate,\b(mycophenolate(\s+mofetil)?|\bMMF\b)\b,drug,DMARD
cyclophosphamide,\b(cyclophosphamide|\bCYC\b|\bCPA\b)\b,drug,Alkylating
tacrolimus,\b(tacrolimus|\bFK506\b|\bTAC\b)\b,drug,CNI
cyclosporine,\b(cyclosporine|\bCsA\b)\b,drug,CNI
tofacitinib,\b(tofacitinib)\b,drug,JAK
baricitinib,\b(baricitinib)\b,drug,JAK
upadacitinib,\b(upadacitinib)\b,drug,JAK
filgotinib,\b(filgotinib|\bGLPG0634\b)\b,drug,JAK
nintedanib,\b(nintedanib|ofev)\b,drug,antifibrotic
pirfenidone,\b(pirfenidone|esbriet)\b,drug,antifibrotic
rituximab,\b(rituximab|\bRTX\b)\b,bio,B-cell
abatacept,\b(abatacept|\bABA\b)\b,bio,T-cell costim
tocilizumab,\b(tocilizumab|\bTCZ\b)\b,bio,IL6
sarilumab,\b(sarilumab)\b,bio,IL6
adalimumab,\b(adalimumab|\bADA\b)\b,bio,TNFi
etanercept,\b(etanercept|\bETN\b)\b,bio,TNFi
infliximab,\b(infliximab|\bIFX\b)\b,bio,TNFi
golimumab,\b(golimumab|\bGOL\b)\b,bio,TNFi
certolizumab,\b(certolizumab(\s*pegol)?)\b,bio,TNFi
MUC5B,\bMUC5B\b,gene,risk
TERT,\bTERT\b,gene,risk
smoking,\b(smoking|smoker|tobacco)\b,exposure,behavioral
silica,\b(silica|silicosis|silicon\s+dioxide)\b,exposure,occupational
metal_dust,\b(metal\s+dust|welding\s+fume(s)?)\b,exposure,occupational
EORA,\b(elderly[-\s]?onset\s+rheumatoid\s+arthritis|\bEORA\b)\b,host,elderly-onset RA
male_sex,\b(male\s+sex|\bmen\b|\bmale\b)\b,host,sex
low_BMI,\b(low\s+BMI|underweight|body\s+mass\s+index\s*<\s*\d+\.?\d*)\b,host,nutrition
hypoalbuminemia,\b(hypoalbumin[a]?emia|low\s+albumin)\b,host,nutrition
pulmonary_hypertension,\b(pulmonary\s+hypertension)\b,complication,PH
right_heart_failure,\b(right\s+heart\s+failure|cor\s+pulmonale)\b,complication,RHF
UIP,\b(UIP|usual\s+interstitial\s+pneumonia)\b,pattern,ILD pattern
NSIP,\b(NSIP|nonspecific\s+interstitial\s+pneumonia)\b,pattern,ILD pattern
organizing_pneumonia,\b(organizing\s+pneumonia|bronchiolitis\s+obliterans\s+organizing\s+pneumonia|\bBOOP\b)\b,pattern,avoid OP ambiguity
CPFE,\b(combined\s+pulmonary\s+fibrosis\s+and\s+emphysema|\bCPFE\b)\b,pattern,fibrosis+emphysema
ground_glass,\b(ground[-\s]?glass(\s+opacity|\s+opacities)?)\b,radiology,GGO
reticulation,\b(reticulation|reticular\s+opacit(y|ies))\b,radiology,reticulation
honeycombing,\b(honeycomb(ing)?)\b,radiology,fibrosis
traction_bronchiectasis,\b(traction\s+bronchiectasis)\b,radiology,fibrosis
bronchiectasis,\b(bronchiectasis)\b,airway,airway disease
small_airway_disease,\b(small\s+airway(s)?(\s+disease)?)\b,airway,airway disease
airway_disease,\b(airway\s+disease)\b,airway,airway disease
subpleural,\b(subpleural)\b,radiology,distribution
lower_lobe_pred,\b(lower\s+lobe[s]?\s+predominance)\b,radiology,distribution
quantitative_CT,\b(quantitative\s+CT|quantitative\s+computed\s+tomography|\bQCT\b|CALIPER)\b,qct,QCT
VRS,\b(vessel[-\s]?related\s+structures|\bVRS\b)\b,qct,vessel-related structures
fibrosis_extent,\b(extent\s+of\s+fibrosis)\b,qct,extent
AE-ILD,\b(acute\s+exacerbation|AE-?ILD)\b,outcome,acute exacerbation
mortality,\bmortalit(y|ies)\b,outcome,death
hospitalization,\bhospitali[sz]ation\b,outcome,admission
progression,\b(progress(ion|ive))\b,outcome,progression
FVC,\bFVC\b|\b(forced\s+vital\s+capacity)\b,pft,spirometry
DLCO,\b(DLCO|DL_CO|TLCO)\b|\b(diffusing\s+capacity\s+for\s+carbon\s+monoxide)\b,pft,gas transfer
pct_pred,%\s*pred(icted)?,pft,%pred
decline,\b(decline|reduction|decrease|drop|worsen(ed|ing))\b,trend,worsening
DAS28,\b(DAS[-\s]?28(?:-CRP|-ESR)?)\b,activity,RA activity index
CRP_ESR,\b(CRP|C\-reactive\s+protein|ESR|erythrocyte\s+sedimentation\s+rate)\b,activity,inflammation
KL6,(?:\b(KL[-\s]?6)\b)|(?:(?i)\b(KL\s*[-–]?\s*6|sialylated\s+KL[-–]?6|MUC1\s*epitope\s*KL[-–]?6)\b),biomarker,type II pneumocyte injury; merged_var_regex
SP_D,\b(SP[-\s]?D|surfactant\s+protein\s+D)\b,biomarker,alveolar
NLR,(?:\b(NLR|neutrophil[-\s]*to[-\s]*lymphocyte\s+ratio)\b)|(?:(?i)(neutrophil:?\s*lymphocyte\s*ratio|N:?L\s*ratio)),biomarker,systemic inflammation; merged_var_regex
CAR,(?:\bCAR\b(?![-\s]?T\b)|(?i:\bCRP[-\s]*to[-\s]*albumin\s+ratio\b)|(?i:\bCRP\s*/\s*Alb\b)|(?i:\bCRP:?\s*albumin\s*ratio\b)),biomarker,inflammation/nutrition; merged_var_regex; v2_patch: excludes CAR-T style matches; retains ratio wording
ACPA_RF,\b(anti[-\s]?CCP|anti[-\s]?citrullinated\s+protein\s+antibod(y|ies)|\bACPA\b|rheumatoid\s+factor|\bRF\b)\b,biomarker,serology
ACPA_RF_high,\b(high[-\s]*titer\s+(ACPA|anti[-\s]?CCP|RF)|ACPA\s+high\s+titer|RF\s+high\s+titer)\b,biomarker,serology high titer
CXCL10,(?:(?i)\b(CXCL10|IP-?10|interferon[-\s]?gamma[-\s]?(?:induced|inducible)\s+protein\s*10)\b)|(?:(?i)(IFN[-\s]?[γg]\s*(induced|inducible)\s*protein\s*10)),biomarker,IFN-γ inducible; merged_var_regex
CXCL9,(?:(?i)\b(CXCL9|MIG|monokine\s+induced\s+by\s+interferon(?:-?gamma)?)\b)|(?:(?i)(monokine\s*induced\s*by\s*IFN[-\s]?[γg])),biomarker,IFN-γ inducible; merged_var_regex
CXCL13,(?:(?i)\b(CXCL13|BCA-?1|B\s*lymphocyte\s*chemoattractant)\b)|(?:(?i)(B\s*cell\s*attracting\s*chemokine|B\s*cell\s*chemoattractant)),biomarker,TLS/B follicles; merged_var_regex
CCL2,(?:(?i)\b(CCL2|MCP-?1|monocyte\s+chemoattractant\s+protein\s*-?1)\b)|(?:(?i)(C-?C\s*motif\s*chemokine\s*2)),biomarker,monocyte chemotaxis; merged_var_regex
CCL18,(?:(?i)\b(CCL18|PARC|pulmonary\s+and\s+activation[-\s]?regulated\s+chemokine)\b)|(?:(?i)(pulmonary\s*and\s*activation\s*regulated\s*chemokine)),biomarker,fibrosis activity; merged_var_regex
CXCL12,(?:(?i)\b(CXCL12|SDF-?1|stromal\s*cell[-\s]?derived\s*factor\s*1[a-b]?)\b)|(?:(?i)(stromal\s*cell\s*derived\s*factor\s*1\s*alpha|SDF\s*-?1α?)),biomarker,CXCR4 axis / fibrocyte; merged_var_regex
CX3CL1,(?:(?i)\b(CX3CL1|fractalkine)\b)|(?:(?i)(neurotactin)),biomarker,epithelial-immune; merged_var_regex
CCL21,(?:(?i)\b(CCL21|SLC|6Ckine)\b)|(?:(?i)(secondary\s*lymphoid\s*tissue\s*chemokine|SLC|6Ckine)),biomarker,iBALT/TLS homing; merged_var_regex
IL8_CXCL8,(?i)\b(IL-?8|CXCL8|interleukin[-\s]?8)\b,biomarker,neutrophil chemotaxis
IL13,(?:(?i)\b(IL-?13|interleukin[-\s]?13)\b)|(?:(?i)(IL-?13R|interleukin[-\s]?13\s*receptor)),biomarker,type 2 / epithelial; merged_var_regex
IL17A,(?:(?i)\b(IL-?17A?|interleukin[-\s]?17A?)\b)|(?:(?i)(IL-?17R|IL-?17RA?)),biomarker,Th17 profibrotic; merged_var_regex
GM_CSF,(?:(?i)\b(GM-?CSF|CSF2|granulocyte[-\s]?macrophage\s+colony[-\s]?stimulating\s+factor)\b)|(?:(?i)(CSF\s*2|colony\s*stimulating\s*factor\s*2)),biomarker,myeloid activation; merged_var_regex
BAFF,(?:(?i)\b(BAFF|TNFSF13B|BLyS)\b)|(?:(?i)(TNFSF13B|B\s*lymphocyte\s*stimulator|BLyS)),biomarker,B-cell survival; merged_var_regex
APRIL,(?:\bAPRIL\b|\bTNFSF13\b|(?i:\ba\s+proliferation[-\s]?inducing\s+ligand\b)),biomarker,B-cell survival; merged_var_regex; v2_patch: uppercase-only acronym/full phrase; avoids month-name false positives
sPD1,(?:(?i)\b(soluble\s*PD-?1|sPD-?1)\b)|(?:(?i)(PDCD1\s*\(soluble\)|soluble\s*PDCD1)),biomarker,immune checkpoint; merged_var_regex
sPDL1,(?:(?i)\b(soluble\s*(PD-?L1|PDL1)|sPD-?L1)\b)|(?:(?i)(CD274\s*\(soluble\)|soluble\s*PD-?L1)),biomarker,immune checkpoint; merged_var_regex
MMP7,(?:(?i)\b(MMP-?7|matrix\s*metalloproteinase[-\s]*7)\b)|(?:(?i)(metalloproteinase\s*7)),biomarker,epithelial injury; merged_var_regex
